sttn_no,sttn_name,longitude,latitude
01863,경진빌라,126.9579482257,37.6018640911
01864,명륜시장 성대후문,126.9952305162,37.5887246101
01865,완성빌라,126.9576665157,37.6033399708
01866,양현관,126.9937685575,37.5897680031
01868,상명대후문,126.9574633677,37.6040715802
01869,샘미용실,126.9934084203,37.5902545716
01870,산정빌라,126.9575782035,37.6052835831
01872,구기빌라,126.9579809335,37.6061334517
01873,마트앞,126.958756466,37.6066987064
01874,국민은행 세검정지점,126.960876,37.604952
01876,혜화역4번출구,127.001555,37.583509
01877,방송통신대앞,127.0019926794,37.5786973612
01878,서울대치과대학,126.997802,37.577411
01879,효제초교 연동교회 김마리아활동터,127.0022087811,37.5736413355
01881,성균관대학교,126.9900035953,37.5884638684
01882,독립문역,126.9594077577,37.5732838531
01883,서울대치과대학,126.99787,37.577572
01886,이화사거리,127.0020084833,37.5769483437
01887,서울대학교병원현관 암병원현관,126.9981567653,37.5789514712
01888,종각 공평유적전시관,126.9832427053,37.5715937879
01889,조계사,126.9831364101,37.5736021088
01901,동대문역JW메리어트동대문호텔,127.009186,37.570859
01902,대학로,127.0021204164,37.58189612
01903,창경궁,126.9964163097,37.5791596347
01904,창덕궁,126.9901776043,37.5775301708
01905,인사동 북촌,126.9837977873,37.5758950223
01906,경복궁 국립민속박물관,126.979446549,37.5794473961
01907,세종문화회관,126.977004,37.573219
01910,통인시장,126.9713315727,37.5791187605
01911,세종문화회관,126.977017,37.573219
01912,종각역,126.9828944171,37.5693799579
01913,인사동 탑골공원,126.9888006413,37.5701155367
01914,종묘 세운상가,126.9935556798,37.5703548529
01915,광장시장,126.9996734151,37.5706237295
01916,동묘 숭인동도깨비시장,127.0180439092,37.5734766013
01917,서울풍물시장,127.0231780999,37.5733400255
01918,청와대,126.9737600308,37.582684814
02001,남대문세무서 서울백병원,126.9875299251,37.5649848069
02002,서울백병원 국가인권위 안중근활동터,126.9878515151,37.5643504711
02003,서울역버스환승센터,126.9722570849,37.5551460158
02004,서울역버스환승센터,126.9725950761,37.5553889891
02005,서울역버스환승센터,126.9727617448,37.5553876977
02006,서울역버스환승센터,126.9728547738,37.5554794133
02007,서울역버스환승센터 강우규의거터,126.972926,37.555411
02008,숭례문,126.9737783904,37.5586388574
02099,숭례문(가상),126.9743556496,37.5597967723
02100,서울시청,126.9806320857,37.5661382638
02101,만리동고개,126.9626582054,37.551787064
02102,손기정체육공원입구,126.9662339013,37.5544459527
02103,서울의료보건고등학교 서울역서부,126.968902,37.555848
02104,서울역서부,126.969153,37.556235
02105,서울역서부,126.969212,37.557133
02106,중림동교차로,126.9691354395,37.5583836266
02107,종근당 충정로역,126.964543,37.559648
02108,한국경제신문사 서소문역사공원,126.9678680149,37.5602111497
02109,한국경제신문사 서소문역사공원,126.9681135141,37.5606234736
02110,경찰청 동북아역사재단,126.9691267228,37.5630494858
02111,장충동써미트호텔,127.00667,37.562273
02113,서대문경찰서 농협은행 유관순활동터,126.9677868059,37.5649062803
02116,염천교,126.973113,37.559869
02117,숭례문,126.973359,37.558401
02118,숭례문 한국일보,126.9737375955,37.5587713091
02120,후암삼거리,126.975993,37.553408
02121,숭례문,126.974362745,37.5587633765
02122,숭례문,126.9740436876,37.5584195299
02123,숭례문,126.9736279452,37.5580006528
02124,남대문시장악세사리전문상가,126.976,37.558873
02125,숭례문남산방향,126.9756720863,37.5585581643
02126,남대문시장,126.9800597585,37.561191081
02127,북창동 남대문시장,126.978282,37.56123
02128,시청앞,126.976443,37.562197
02131,삼성본관앞,126.9759075283,37.5620517519
02132,시청앞,126.976148714,37.562764205
02133,서소문,126.974652,37.563191
02135,시청 서소문청사,126.9749539314,37.5635248407
02137,서울신문사,126.9773647051,37.5683632936
02139,우리은행종로지점,126.9829289124,37.5675190047
02140,롯데백화점,126.982205,37.56451
02141,해운센터 롯데영프라자,126.9815478394,37.5628907847
02142,롯데영프라자,126.982008,37.562885
02144,신세계백화점,126.981432,37.561128
02145,남대문시장 회현역,126.9777650546,37.5582675237
02146,남대문시장 회현역,126.9784645011,37.5584920257
02147,남산3호터널,126.98274,37.558312
02148,남산3호터널 서울애니메이션센터,126.9826359346,37.5595260891
02149,명동역4번출구,126.984917,37.560657
02150,퇴계로2가 명동역5번출구,126.984362,37.56093
02151,퇴계로3가 한옥마을 한국의집,126.9917771969,37.5612508237
02152,퇴계로3가 한옥마을 한국의집,126.99241,37.560902
02153,충무로역2번출구 대한극장앞,126.994728,37.561238
02154,충무로역8번출구 대한극장앞,126.9964921507,37.5620371603
02155,초동,126.9931119513,37.5633461766
02156,을지로입구 로얄호텔,126.9853902774,37.5658757422
02157,을지로입구 시청입구,126.9811712097,37.5661382638
02158,을지로2가 기업은행본점 서울노동청,126.9865233528,37.566246226
02159,을지로2가 파인에비뉴,126.98867,37.566072
02160,을지로3가,126.990263,37.566375
02161,을지로3가,126.9913276421,37.5661205237
02162,을지로4가,126.995933,37.566687
02163,을지로4가 베스트웨스턴국도,126.9968473297,37.5664010399
02164,중구청앞 덕수중학교,126.9981401348,37.5647745951
02165,방산시장 을지로4가역6번출구,126.999258524,37.5668182855
02166,을지로5가 중부시장,127.0011150411,37.5666200422
02167,방산시장 훈련원종합체육관,127.0024044565,37.5679608485
02168,을지로5가 훈련원종합체육관,127.0025945654,37.5658243542
02169,을지로6가 국립중앙의료원,127.006233,37.566173
02170,광희동,127.0072096931,37.5650528273
02171,광희동,127.00772,37.565171
02172,을지로6가 국립중앙의료원,127.0058434821,37.5664631128
02173,동대문역사문화공원,127.0083555318,37.5673541422
02174,동대문역사문화공원,127.00917,37.567483
02177,충무아트센터 스포츠센터 중부소방서,127.013527,37.565168
02178,충무아트센터 스포츠센터 중부소방서,127.0147408667,37.5650178857
02179,성동공업고등학교(무궁화회관),127.0157558376,37.5683481924
02180,성동공업고등학교앞,127.0161294881,37.5686950625
02181,신당역 중앙시장앞,127.0187426545,37.5657282804
02182,신당역 중앙시장앞,127.0194795301,37.5654920748
02183,성동고등학교,127.022183,37.565595
02184,성동고등학교,127.022398,37.56524
02187,신당동떡볶이타운 중구여성플라자,127.015095,37.562798
02188,신당동떡볶이타운 중구여성플라자,127.0151908517,37.5623100443
02189,신당동 청구역,127.0132161263,37.5589483023
02190,신당동 청구역,127.0130316796,37.559257398
02191,약수역2번출구 가온도서관,127.011043,37.555794
02192,약수역3번출구 약수하이츠,127.0113796895,37.5557496102
02193,약수역4번출구 금호터널입구,127.012012,37.553399
02194,약수역5번출구 금호터널입구,127.0118693353,37.55292373
02195,약수역8번출구 신당사회복지관,127.0099566945,37.5538646495
02196,약수역7번출구 약수동주민센터,127.0092978444,37.5528509718
02197,송도병원앞,127.0077186988,37.5502676468
02198,송도병원앞,127.0073984027,37.550227118
02199,약수역1번출구,127.009758,37.556253
02201,장충체육관앞,127.008065,37.558336
02202,장충체육관앞,127.0078281581,37.5580017329
